[INFO] [2010-12-16 11:01:05,666] [main] s.s.a.c.Config$: Config loaded from the application classpath.
[DEBUG] [2010-12-16 11:01:05,835] [akka:event-driven-work-stealing:dispatcher:mappers-9] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-9
[DEBUG] [2010-12-16 11:01:05,836] [akka:event-driven-work-stealing:dispatcher:mappers-10] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-10
[DEBUG] [2010-12-16 11:01:05,836] [akka:event-driven-work-stealing:dispatcher:mappers-11] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-11
[DEBUG] [2010-12-16 11:01:05,836] [akka:event-driven-work-stealing:dispatcher:mappers-12] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-12
[DEBUG] [2010-12-16 11:01:05,836] [akka:event-driven-work-stealing:dispatcher:mappers-13] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-13
[DEBUG] [2010-12-16 11:01:05,837] [akka:event-driven-work-stealing:dispatcher:mappers-14] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-14
[DEBUG] [2010-12-16 11:01:05,838] [akka:event-driven-work-stealing:dispatcher:mappers-15] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-15
[DEBUG] [2010-12-16 11:01:05,838] [akka:event-driven-work-stealing:dispatcher:mappers-7] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-7
[DEBUG] [2010-12-16 11:01:05,845] [akka:event-driven:dispatcher:global-2] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-2
[DEBUG] [2010-12-16 11:01:05,852] [akka:event-driven-work-stealing:dispatcher:mappers-16] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-16
[DEBUG] [2010-12-16 11:01:05,859] [akka:event-driven:dispatcher:global-3] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-3
[DEBUG] [2010-12-16 11:01:05,865] [akka:event-driven:dispatcher:global-4] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-4
[DEBUG] [2010-12-16 11:01:05,872] [akka:event-driven:dispatcher:global-5] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-5
[DEBUG] [2010-12-16 11:01:05,893] [akka:event-driven:dispatcher:global-6] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-6
[DEBUG] [2010-12-16 11:01:05,896] [akka:event-driven:dispatcher:global-8] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-8
[DEBUG] [2010-12-16 11:01:05,899] [akka:event-driven:dispatcher:global-9] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-9
[DEBUG] [2010-12-16 11:01:05,905] [akka:event-driven:dispatcher:global-10] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-10
[DEBUG] [2010-12-16 11:01:05,908] [akka:event-driven:dispatcher:global-11] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-11
[DEBUG] [2010-12-16 11:01:05,913] [akka:event-driven:dispatcher:global-12] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-12
[DEBUG] [2010-12-16 11:01:05,915] [akka:event-driven:dispatcher:global-13] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-13
[DEBUG] [2010-12-16 11:01:05,917] [akka:event-driven:dispatcher:global-7] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-7
[DEBUG] [2010-12-16 11:01:05,919] [akka:event-driven:dispatcher:global-14] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-14
[DEBUG] [2010-12-16 11:01:05,922] [akka:event-driven:dispatcher:global-15] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-15
[DEBUG] [2010-12-16 11:01:05,940] [akka:event-driven:dispatcher:global-16] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-16
[INFO] [2010-12-16 11:01:09,277] [akka:event-driven:dispatcher:global-8] s.s.a.a.ActorRegistry$: Shutting down all actors in the system...
[DEBUG] [2010-12-16 11:01:09,323] [akka:event-driven:dispatcher:global-8] s.s.a.d.Dispatchers$globalExecutorBasedEventDrivenDispatcher$: Shutting down ExecutorBasedEventDrivenDispatcher[akka:event-driven:dispatcher:global]
[DEBUG] [2010-12-16 11:01:09,324] [akka:event-driven:dispatcher:global-12] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-12
[DEBUG] [2010-12-16 11:01:09,324] [akka:event-driven:dispatcher:global-2] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-2
[DEBUG] [2010-12-16 11:01:09,324] [akka:event-driven:dispatcher:global-1] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-1
[DEBUG] [2010-12-16 11:01:09,324] [akka:event-driven:dispatcher:global-15] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-15
[DEBUG] [2010-12-16 11:01:09,324] [akka:event-driven:dispatcher:global-6] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-6
[DEBUG] [2010-12-16 11:01:09,325] [akka:event-driven:dispatcher:global-4] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-4
[DEBUG] [2010-12-16 11:01:09,325] [akka:event-driven:dispatcher:global-9] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-9
[DEBUG] [2010-12-16 11:01:09,325] [akka:event-driven:dispatcher:global-10] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-10
[DEBUG] [2010-12-16 11:01:09,325] [akka:event-driven:dispatcher:global-14] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-14
[DEBUG] [2010-12-16 11:01:09,325] [akka:event-driven:dispatcher:global-11] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-11
[DEBUG] [2010-12-16 11:01:09,325] [akka:event-driven:dispatcher:global-13] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-13
[DEBUG] [2010-12-16 11:01:09,325] [akka:event-driven:dispatcher:global-5] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-5
[DEBUG] [2010-12-16 11:01:09,325] [akka:event-driven:dispatcher:global-16] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-16
[DEBUG] [2010-12-16 11:01:09,325] [akka:event-driven:dispatcher:global-8] s.s.a.d.ExecutorBasedEventDrivenWorkStealingDispatcher: Shutting down ExecutorBasedEventDrivenWorkStealingDispatcher[akka:event-driven-work-stealing:dispatcher:mappers]
[DEBUG] [2010-12-16 11:01:09,325] [akka:event-driven:dispatcher:global-7] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-7
[DEBUG] [2010-12-16 11:01:09,325] [akka:event-driven:dispatcher:global-3] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-3
[DEBUG] [2010-12-16 11:01:09,326] [akka:event-driven-work-stealing:dispatcher:mappers-7] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-7
[DEBUG] [2010-12-16 11:01:09,326] [akka:event-driven-work-stealing:dispatcher:mappers-16] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-16
[DEBUG] [2010-12-16 11:01:09,326] [akka:event-driven-work-stealing:dispatcher:mappers-12] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-12
[DEBUG] [2010-12-16 11:01:09,326] [akka:event-driven-work-stealing:dispatcher:mappers-8] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-8
[DEBUG] [2010-12-16 11:01:09,326] [akka:event-driven-work-stealing:dispatcher:mappers-2] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-2
[DEBUG] [2010-12-16 11:01:09,326] [akka:event-driven-work-stealing:dispatcher:mappers-5] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-5
[DEBUG] [2010-12-16 11:01:09,327] [akka:event-driven-work-stealing:dispatcher:mappers-11] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-11
[DEBUG] [2010-12-16 11:01:09,327] [akka:event-driven-work-stealing:dispatcher:mappers-6] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-6
[INFO] [2010-12-16 11:01:09,327] [akka:event-driven:dispatcher:global-8] s.s.a.a.ActorRegistry$: All actors have been shut down and unregistered from ActorRegistry
[DEBUG] [2010-12-16 11:01:09,327] [akka:event-driven:dispatcher:global-8] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-8
[DEBUG] [2010-12-16 11:01:09,327] [akka:event-driven-work-stealing:dispatcher:mappers-14] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-14
[DEBUG] [2010-12-16 11:01:09,327] [akka:event-driven-work-stealing:dispatcher:mappers-10] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-10
[DEBUG] [2010-12-16 11:01:09,327] [akka:event-driven-work-stealing:dispatcher:mappers-9] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-9
[DEBUG] [2010-12-16 11:01:09,328] [akka:event-driven-work-stealing:dispatcher:mappers-15] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-15
[DEBUG] [2010-12-16 11:01:09,328] [akka:event-driven-work-stealing:dispatcher:mappers-4] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-4
[DEBUG] [2010-12-16 11:01:09,328] [akka:event-driven-work-stealing:dispatcher:mappers-1] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-1
[DEBUG] [2010-12-16 11:01:09,328] [akka:event-driven-work-stealing:dispatcher:mappers-13] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-13
[DEBUG] [2010-12-16 11:01:09,326] [akka:event-driven-work-stealing:dispatcher:mappers-3] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-3
[INFO] [2010-12-16 11:01:20,923] [main] s.s.a.c.Config$: Config loaded from the application classpath.
[DEBUG] [2010-12-16 11:01:20,963] [main] s.s.a.d.Dispatchers$globalExecutorBasedEventDrivenDispatcher$: Creating a se.scalablesolutions.akka.dispatch.Dispatchers$globalExecutorBasedEventDrivenDispatcher$ with config [core-pool:16,max-pool:128,timeout:60000,allowCoreTimeout:false,rejectPolicy:CallerRunsPolicy]
[WARN] [2010-12-16 11:01:20,965] [main] s.s.a.d.Dispatchers$globalExecutorBasedEventDrivenDispatcher$: Tried to configure an already started ThreadPoolBuilder of type [se.scalablesolutions.akka.dispatch.Dispatchers$globalExecutorBasedEventDrivenDispatcher$]
[DEBUG] [2010-12-16 11:01:21,043] [main] s.s.a.d.ExecutorBasedEventDrivenWorkStealingDispatcher: Creating a se.scalablesolutions.akka.dispatch.ExecutorBasedEventDrivenWorkStealingDispatcher with config [core-pool:16,max-pool:128,timeout:60000,allowCoreTimeout:false,rejectPolicy:CallerRunsPolicy]
[DEBUG] [2010-12-16 11:01:21,065] [main] s.s.a.d.Dispatchers$globalExecutorBasedEventDrivenDispatcher$: Starting up ExecutorBasedEventDrivenDispatcher[akka:event-driven:dispatcher:global]
	with throughput [5]
[DEBUG] [2010-12-16 11:01:21,079] [akka:event-driven:dispatcher:global-1] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-1
[DEBUG] [2010-12-16 11:01:21,085] [akka:event-driven-work-stealing:dispatcher:mappers-1] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-1
[DEBUG] [2010-12-16 11:01:21,085] [akka:event-driven-work-stealing:dispatcher:mappers-2] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-2
[DEBUG] [2010-12-16 11:01:21,089] [akka:event-driven-work-stealing:dispatcher:mappers-3] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-3
[DEBUG] [2010-12-16 11:01:21,090] [akka:event-driven-work-stealing:dispatcher:mappers-4] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-4
[DEBUG] [2010-12-16 11:01:21,091] [akka:event-driven-work-stealing:dispatcher:mappers-6] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-6
[DEBUG] [2010-12-16 11:01:21,091] [akka:event-driven-work-stealing:dispatcher:mappers-7] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-7
[DEBUG] [2010-12-16 11:01:21,091] [akka:event-driven-work-stealing:dispatcher:mappers-8] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-8
[DEBUG] [2010-12-16 11:01:21,102] [akka:event-driven-work-stealing:dispatcher:mappers-5] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-5
[DEBUG] [2010-12-16 11:01:21,102] [akka:event-driven-work-stealing:dispatcher:mappers-12] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-12
[DEBUG] [2010-12-16 11:01:21,103] [akka:event-driven-work-stealing:dispatcher:mappers-13] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-13
[DEBUG] [2010-12-16 11:01:21,103] [akka:event-driven-work-stealing:dispatcher:mappers-14] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-14
[DEBUG] [2010-12-16 11:01:21,103] [akka:event-driven-work-stealing:dispatcher:mappers-9] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-9
[DEBUG] [2010-12-16 11:01:21,104] [akka:event-driven-work-stealing:dispatcher:mappers-15] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-15
[DEBUG] [2010-12-16 11:01:21,113] [akka:event-driven-work-stealing:dispatcher:mappers-11] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-11
[DEBUG] [2010-12-16 11:01:21,114] [akka:event-driven-work-stealing:dispatcher:mappers-10] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-10
[DEBUG] [2010-12-16 11:01:21,120] [akka:event-driven-work-stealing:dispatcher:mappers-16] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven-work-stealing:dispatcher:mappers-16
[DEBUG] [2010-12-16 11:01:21,131] [akka:event-driven:dispatcher:global-2] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-2
[DEBUG] [2010-12-16 11:01:21,148] [akka:event-driven:dispatcher:global-3] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-3
[DEBUG] [2010-12-16 11:01:21,160] [akka:event-driven:dispatcher:global-4] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-4
[DEBUG] [2010-12-16 11:01:21,177] [akka:event-driven:dispatcher:global-5] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-5
[DEBUG] [2010-12-16 11:01:21,180] [akka:event-driven:dispatcher:global-6] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-6
[DEBUG] [2010-12-16 11:01:21,212] [akka:event-driven:dispatcher:global-8] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-8
[DEBUG] [2010-12-16 11:01:21,220] [akka:event-driven:dispatcher:global-7] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-7
[DEBUG] [2010-12-16 11:01:21,237] [akka:event-driven:dispatcher:global-10] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-10
[DEBUG] [2010-12-16 11:01:21,240] [akka:event-driven:dispatcher:global-9] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-9
[DEBUG] [2010-12-16 11:01:21,246] [akka:event-driven:dispatcher:global-11] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-11
[DEBUG] [2010-12-16 11:01:21,264] [akka:event-driven:dispatcher:global-12] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-12
[DEBUG] [2010-12-16 11:01:21,265] [akka:event-driven:dispatcher:global-13] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-13
[DEBUG] [2010-12-16 11:01:21,269] [akka:event-driven:dispatcher:global-14] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-14
[DEBUG] [2010-12-16 11:01:21,294] [akka:event-driven:dispatcher:global-16] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-16
[DEBUG] [2010-12-16 11:01:21,294] [akka:event-driven:dispatcher:global-15] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Created thread akka:event-driven:dispatcher:global-15
[INFO] [2010-12-16 11:01:24,357] [akka:event-driven:dispatcher:global-4] s.s.a.a.ActorRegistry$: Shutting down all actors in the system...
[DEBUG] [2010-12-16 11:01:24,395] [akka:event-driven:dispatcher:global-4] s.s.a.d.ExecutorBasedEventDrivenWorkStealingDispatcher: Shutting down ExecutorBasedEventDrivenWorkStealingDispatcher[akka:event-driven-work-stealing:dispatcher:mappers]
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-3] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-3
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-1] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-1
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-9] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-9
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-14] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-14
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-15] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-15
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-5] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-5
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-8] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-8
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-11] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-11
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-6] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-6
[DEBUG] [2010-12-16 11:01:24,397] [akka:event-driven-work-stealing:dispatcher:mappers-4] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-4
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-10] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-10
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-12] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-12
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-13] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-13
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-7] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-7
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-16] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-16
[DEBUG] [2010-12-16 11:01:24,396] [akka:event-driven-work-stealing:dispatcher:mappers-2] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven-work-stealing:dispatcher:mappers-2
[DEBUG] [2010-12-16 11:01:24,397] [akka:event-driven:dispatcher:global-4] s.s.a.d.Dispatchers$globalExecutorBasedEventDrivenDispatcher$: Shutting down ExecutorBasedEventDrivenDispatcher[akka:event-driven:dispatcher:global]
[DEBUG] [2010-12-16 11:01:24,398] [akka:event-driven:dispatcher:global-5] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-5
[INFO] [2010-12-16 11:01:24,398] [akka:event-driven:dispatcher:global-4] s.s.a.a.ActorRegistry$: All actors have been shut down and unregistered from ActorRegistry
[DEBUG] [2010-12-16 11:01:24,398] [akka:event-driven:dispatcher:global-16] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-16
[DEBUG] [2010-12-16 11:01:24,398] [akka:event-driven:dispatcher:global-11] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-11
[DEBUG] [2010-12-16 11:01:24,398] [akka:event-driven:dispatcher:global-8] s.s.a.d.ThreadPoolBuilder$MonitorableThread: Exiting thread akka:event-driven:dispatcher:global-8
